date,energy_mwh,fuel,percentage
2021-01-09 19:00:00,-5562,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),-0.0513251144249224
2021-01-09 19:00:00,15477,ΛΙΓΝΙΤΗΣ,0.142818913332349
2021-01-09 19:00:00,108368,ΣΥΝΟΛΟ,1.0
2021-01-09 19:00:00,10462,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0965414144396869
2021-01-10 19:00:00,48952,ΑΕΡΙΟ,0.4080625531418282
2021-01-10 19:00:00,51070,ΑΙΟΛΙΚΑ,0.4257181440789583
2021-01-10 19:00:00,-10263,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),-0.0855520914956402
2021-01-10 19:00:00,16873,ΛΙΓΝΙΤΗΣ,0.1406528734099131
2021-01-10 19:00:00,119962,ΣΥΝΟΛΟ,1.0
2021-01-10 19:00:00,13330,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.1111185208649405
2021-01-11 19:00:00,42786,ΑΙΟΛΙΚΑ,0.3369931634164015
2021-01-11 19:00:00,-12620,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),-0.0993982546233578
2021-01-11 19:00:00,14877,ΛΙΓΝΙΤΗΣ,0.1171749472291358
2021-01-11 19:00:00,126964,ΣΥΝΟΛΟ,1.0
2021-01-11 19:00:00,21735,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.1711902586559969
2021-01-11 19:00:00,60186,ΦΥΣΙΚΟ ΑΕΡΙΟ,0.4740398853218235
2021-01-12 19:00:00,23277,ΑΙΟΛΙΚΑ,0.1828946334564312
2021-01-12 19:00:00,-6916,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),-0.054341164453524
2021-01-12 19:00:00,19604,ΛΙΓΝΙΤΗΣ,0.1540347293156282
2021-01-12 19:00:00,127270,ΣΥΝΟΛΟ,1.0
2021-01-12 19:00:00,33252,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.2612713129567062
2021-01-12 19:00:00,58053,ΦΥΣΙΚΟ ΑΕΡΙΟ,0.4561404887247584
2021-01-13 19:00:00,32581,ΑΙΟΛΙΚΑ,0.2519000162361509
